trainee name (rom),final ranking,age (years),height (cm),agency (name),training period (months),debut year,ep 4 votes w/ bonus,ep 4 bonus,ep 4 is center,ep 4 is leader,ep 4 position,ep 5 votes,ep 7 votes w/ bonus,ep 7 bonus 1,ep 7 bonus 2,ep 7 is center,ep 7 is leader,ep 7 position,ep 8 votes,ep 9 votes,ep 9 is center,ep 9 is leader,ep 9 position,ep 10 votes,ep 11 is center,ep 11 is leader,ep 11 position,ep 11 votes
kim sangbin,48,23,173,none,32,,6,n,n,y,main rapper,100142,283,n,n,n,n,dancer,379753,0,n,n,none,0,n,n,none,0
kim taewoo,49,25,178,narda,72,2014,85,n,n,n,rapper,167726,447,n,n,n,n,vocal,367727,0,n,n,none,0,n,n,none,0
lee junwoo,50,20,184,fent,11,,82,n,n,n,vocal,157041,521,n,n,n,n,dancer,343252,0,n,n,none,0,n,n,none,0
jung jung,51,22,183,yuehua,20,,3019,y,n,n,vocal,122552,10537,y,n,y,n,dancer,330058,0,n,n,none,0,n,n,none,0
kim namhyung,52,25,172,s how,62,2012,10,n,n,n,vocal,112841,379,n,n,n,n,dancer,328569,0,n,n,none,0,n,n,none,0
lee kiwon,53,22,170,2y,55,,3112,y,n,n,vocal,318579,415,n,n,n,n,dancer,318579,0,n,n,none,0,n,n,none,0
lee youjin,54,26,180,namoo,73,,3018,y,n,y,rapper,130509,432,n,n,n,y,rapper,316255,0,n,n,none,0,n,n,none,0
yoon jaechan,55,19,175,thevibe,10,,51,n,n,n,main vocal,101243,382,n,n,n,n,dancer,277022,0,n,n,none,0,n,n,none,0
kim yongjin,56,21,171,wings,39,2013,22,n,n,n,main vocal,114426,441,n,n,n,n,rapper,261354,0,n,n,none,0,n,n,none,0
lee insoo,57,22,170,none,32,2015,27,n,y,n,rapper,105599,377,n,n,n,y,dancer,256851,0,n,n,none,0,n,n,none,0
kim dongbin,58,17,180,kiwi media,7,,79,n,n,n,vocal,237033,271,n,n,n,n,rapper,256770,0,n,n,none,0,n,n,none,0
kim taemin,59,23,182,hanahreum,40,,72,n,n,n,rapper,260391,496,n,n,n,n,rapper,0,0,n,n,none,0,n,n,none,0
ha minho,60,20,176,thevibe,12,,31,n,y,y,vocal,132056,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
seong hyunwoo,61,22,181,thevibe,55,,3021,y,n,n,rapper,99983,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
joo wontak,62,22,178,2 able,50,2013,3103,y,n,n,vocal,88474,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi dongha,63,22,172,none,52,,40,n,n,n,main vocal,88032,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jeong joongji,64,26,181,wayz,14,,13,n,n,n,vocal,86864,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kwon hyeop,65,20,174,maroo,14,,27,n,y,n,vocal,86745,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
im woohyeok,66,24,172,blessing,39,,3061,y,n,n,rapper,86710,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jeong hyojun,67,26,181,yg k plus,3,,54,n,n,n,rapper,85218,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
son dongmyeong,68,19,173,rbw,25,2016,105,n,n,n,vocal,84469,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
lee seokyu,69,20,170,it,28,2014,31,n,n,n,vocal,80052,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim hyunwoo,70,20,186,yg k plus,3,,58,n,n,n,vocal,79305,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi taewoong,71,24,180,mmo,51,,24,n,n,y,vocal,78323,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jo jinhyung,72,22,170,cs,26,,3068,y,n,n,main vocal,77924,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
yoon yongbin,73,23,178,banana,14,,3018,y,n,n,vocal,77030,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
han minho,74,21,174,it,21,2014,42,n,n,n,rapper,77000,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
yu jinwon,75,21,178,blessing,10,,123,n,n,n,vocal,76303,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim yeonguk,76,23,177,i.one,12,,3007,y,n,y,vocal,75768,0,n,n,n,n,none,0,0,n,n,vocal,0,n,n,none,0
jung sihyeon,77,27,183,gni,31,,31,n,n,n,vocal,74829,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim chanyul,78,26,186,tjcgk,32,2014,7,n,n,n,vocal,73320,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi seunghyeok,79,19,185,yuehua,14,,61,n,y,n,vocal,72983,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
lee hoolim,80,26,187,yg k plus,3,,25,n,n,y,vocal,72260,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim jaehan,81,23,179,mmo,14,2015,37,n,n,n,main vocal,71281,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim chan,82,22,178,none,28,,96,n,n,n,vocal,69967,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jang daehyeon,83,21,175,oui,9,,100,n,n,n,rapper,69146,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
yoo kyungmok,84,24,181,total set,110,2011,3093,y,y,n,vocal,68265,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi hadon,85,25,180,tjcgk,98,2014,51,n,n,n,rapper,68009,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
park heeseok,86,26,177,gini stars,64,,3005,y,n,y,vocal,68008,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
yu hoyeon,87,20,177,i.one,14,,16,n,n,n,vocal,67707,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jo gyumin,88,25,173,imx,51,,7,n,n,y,rapper,67359,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
wang minhyuk,89,24,178,gini stars,22,2015,15,n,n,n,main vocal,66475,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi junyoung,90,22,180,stl,43,,3028,y,n,n,rapper,66443,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jo sungwook,91,22,183,oui,2,,51,n,n,n,vocal,64374,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim dohyun,92,26,171,gini stars,52,,22,n,n,y,rapper,64157,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jo yonggeun,93,23,174,hf music,14,,7,n,n,n,vocal,61660,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
lee gunmin,94,22,176,rbw,14,,30,n,n,n,vocal,60404,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
jeong woncheol,95,22,178,hf music,33,2015,3015,y,n,y,vocal,57775,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi heesoo,96,21,177,i.one,16,,28,n,n,n,vocal,55959,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
choi jaewoo,97,21,174,rbw,16,,99,n,n,n,rapper,52711,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
lee jihan,98,20,181,pan,23,,39,n,y,n,vocal,51123,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
han jongyeon,-,20,178,maroo,27,,0,n,n,n,none,0,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
kim sihyun,-,20,175,chun,9,,0,n,n,n,none,0,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
nam yoonsung,-,22,181,i.one,39,,0,n,n,n,none,0,0,n,n,n,n,none,0,0,n,n,none,0,n,n,none,0
