GROUPED BY YEAR AND SORTED BY POSITION,,,,,,,,,,,,,,,SORTED ALPHABETICALLY,,,,,,,,,,,,,,,GROUPED BY POSITION AND SORTED BY YEAR,,,,,,,,,,,,,
#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge
36,Nakaya Sayaka,8505,2012,27,NEW,AKB48,Next Girls Member,1991/10/15,26,20,B,Iwate,"26 Years, 3 Months, 22 Days",,16,Kitahara Rie,8836,2010,17,-3,AKB48,Senbatsu Member,1991/06/24,26,19,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Akimoto Sayaka,8049,2010,17,-5,AKB48,Senbatsu Member,1988/07/26,29,21,B,Chiba,"29 Years, 6 Months, 11 Days"
37,Nakata Chisato,8315,2012,27,NEW,AKB48,Next Girls Member,1990/10/08,27,21,A,Saitama,"27 Years, 3 Months, 29 Days",,13,Kitahara Rie,27957,2011,22,3,AKB48,Senbatsu Member,1991/06/24,26,20,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Akimoto Sayaka,17154,2011,22,0,AKB48,Senbatsu Member,1988/07/26,29,22,B,Chiba,"29 Years, 6 Months, 11 Days"
38,Miyazaki Miho,8173,2012,27,-11,AKB48,Next Girls Member,1993/07/30,24,18,O,Tokyo,"24 Years, 6 Months, 7 Days",,13,Kitahara Rie,26531,2012,27,0,AKB48,Senbatsu Member,1991/06/24,26,21,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Takajo Aki,23083,2012,27,-5,AKB48,Undergirls Center,1991/10/03,26,20,B,Tokyo,"26 Years, 4 Months, 3 Days"
39,Nagao Mariya,7809,2012,27,NEW,AKB48,Next Girls Member,1994/03/10,23,18,O,Kanagawa,"23 Years, 10 Months, 27 Days",,21,Kitahara Rie,33121,2013,32,-8,AKB48,Undergirls Member,1991/06/24,26,22,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Shibata Aya,39739,2013,32,NEW,SKE48,Undergirls Center,1993/04/01,24,20,B,Aichi,"24 Years, 10 Months, 5 Days"
40,Fujie Reina,7782,2012,27,0,AKB48,Next Girls Member,1994/02/01,23,18,B,Chiba,"24 Years, 0 Months, 5 Days",,19,Kitahara Rie,34666,2014,37,2,AKB48,Undergirls Member,1991/06/24,26,23,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Matsumura Kaori,37967,2014,37,7,SKE48,Undergirls Center,1990/01/17,28,24,O,Saitama,"28 Years, 0 Months, 20 Days"
41,Kobayashi Kana,7195,2012,27,NEW,AKB48,Next Girls Member,1991/05/17,26,21,B,Saitama,"26 Years, 8 Months, 20 Days",,11,Kitahara Rie,61566,2015,41,8,NGT48,Senbatsu Member,1991/06/24,26,24,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Kodama Haruka,43985,2015,41,4,HKT48,Undergirls Center,1996/09/19,21,18,O,Fukuoka,"21 Years, 4 Months, 18 Days"
42,Maeda Ami,7168,2012,27,-5,AKB48,Next Girls Member,1995/06/01,22,17,O,Tokyo,"22 Years, 8 Months, 5 Days",,12,Kitahara Rie,50190,2016,45,-1,NGT48,Senbatsu Member,1991/06/24,26,25,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Minegishi Minami,40011,2016,45,2,AKB48,Undergirls Center,1992/11/15,25,23,B,Tokyo,"25 Years, 2 Months, 22 Days"
43,Fukumoto Aina,6912,2012,27,NEW,NMB48,Next Girls Member,1993/03/25,24,19,**,Nara,"24 Years, 10 Months, 12 Days",,10,Kitahara Rie,45684,2017,49,2,NGT48,Senbatsu Member,1991/06/24,26,26,A,Aichi,"26 Years, 7 Months, 13 Days",,17,Mukaichi Mion,35201,2017,49,-4,AKB48,Undergirls Center,1998/01/29,19,19,O,Saitama,"20 Years, 0 Months, 8 Days"
44,Nakagawa Haruka,6890,2012,27,-20,AKB48,Next Girls Member,1992/02/10,25,20,O,Tokyo,"25 Years, 11 Months, 27 Days",,93,Kitano Ruka,11503,2017,49,NEW,SKE48,No Membership,1999/05/25,18,18,A,Gifu,"18 Years, 8 Months, 12 Days",,18,Miyazaki Miho,1373,2009,13,NEW,AKB48,Senbatsu Member,1993/07/30,24,15,O,Tokyo,"24 Years, 6 Months, 7 Days"
45,Tano Yuuka,6694,2012,27,NEW,AKB48,Next Girls Member,1997/03/07,20,15,O,Tokyo,"20 Years, 10 Months, 30 Days",,31,Kizaki Yuria,10554,2012,27,NEW,SKE48,Undergirls Member,1996/02/11,21,16,O,Aichi,"21 Years, 11 Months, 26 Days",,18,Sato Amina,6921,2010,17,-10,AKB48,Senbatsu Member,1990/10/16,27,19,O,Tokyo,"27 Years, 3 Months, 21 Days"
46,Yamada Nana,6683,2012,27,8,NMB48,Next Girls Member,1992/04/03,25,20,A,Osaka,"25 Years, 10 Months, 3 Days",,22,Kizaki Yuria,30307,2013,32,9,SKE48,Undergirls Member,1996/02/11,21,17,O,Aichi,"21 Years, 11 Months, 26 Days",,18,Sato Amina,16574,2011,22,0,AKB48,Senbatsu Member,1990/10/16,27,20,O,Tokyo,"27 Years, 3 Months, 21 Days"
47,Miyawaki Sakura,6635,2012,27,NEW,AKB48,Next Girls Member,1998/03/19,19,14,A,Kagoshima,"19 Years, 10 Months, 18 Days",,23,Kizaki Yuria,30154,2014,37,-1,AKB48,Undergirls Member,1996/02/11,21,18,O,Aichi,"21 Years, 11 Months, 26 Days",,18,Yamamoto Sayaka,23020,2012,27,10,NMB48,Undergirls Member,1993/07/14,24,18,B,Osaka,"24 Years, 6 Months, 23 Days"
48,Katayama Haruka,6602,2012,27,-11,AKB48,Next Girls Member,1990/05/10,27,22,A,Aichi,"27 Years, 8 Months, 27 Days",,22,Kizaki Yuria,26994,2015,41,1,AKB48,Undergirls Member,1996/02/11,21,19,O,Aichi,"21 Years, 11 Months, 26 Days",,18,Minegishi Minami,38985,2013,32,-4,AKB48,Undergirls Member,1992/11/15,25,20,B,Tokyo,"25 Years, 2 Months, 22 Days"
49,Muto Tomu,6428,2012,27,NEW,AKB48,Future Girls Center,1994/11/25,23,17,B,Tokyo,"23 Years, 2 Months, 12 Days",,37,Kizaki Yuria,25039,2016,45,-15,AKB48,Next Girls Member,1996/02/11,21,20,O,Aichi,"21 Years, 11 Months, 26 Days",,18,Watanabe Miyuki,36108,2014,37,-3,NMB48,Undergirls Member,1993/09/19,24,20,B,Nara,"24 Years, 4 Months, 18 Days"
50,Ishida Haruka,6333,2012,27,-23,AKB48,Future Girls Member,1993/12/02,24,18,A,Saitama,"24 Years, 2 Months, 4 Days",,47,Kobayashi Ami,15533,2013,32,NEW,SKE48,Next Girls Member,1993/01/12,25,20,O,Aichi,"25 Years, 0 Months, 25 Days",,18,Suda Akari,43665,2015,41,-8,SKE48,Undergirls Member,1991/10/31,26,23,A,Aichi,"26 Years, 3 Months, 6 Days"
51,Kikuchi Ayaka,6185,2012,27,NEW,AKB48,Future Girls Member,1993/06/30,24,19,A,Tokyo,"24 Years, 7 Months, 7 Days",,77,Kobayashi Ami,9931,2014,37,-30,AKB48,Upcoming Girls Member,1993/01/12,25,21,O,Aichi,"25 Years, 0 Months, 25 Days",,18,Iriyama Anna,36894,2016,45,REENTER,AKB48,Undergirls Member,1995/12/03,22,20,B,Chiba,"22 Years, 2 Months, 3 Days"
52,Ota Aika,6140,2012,27,NEW,AKB48,Future Girls Member,1994/12/08,23,17,O,Saitama,"23 Years, 1 Months, 29 Days",,41,Kobayashi Kana,7195,2012,27,NEW,AKB48,Next Girls Member,1991/05/17,26,21,B,Saitama,"26 Years, 8 Months, 20 Days",,18,Matsumura Kaori,34977,2017,49,REENTER,SKE48,Undergirls Member,1990/01/17,28,27,O,Saitama,"28 Years, 0 Months, 20 Days"
53,Matsui Sakiko,6058,2012,27,-15,AKB48,Future Girls Member,1990/12/10,27,21,O,Saitama,"27 Years, 1 Months, 27 Days",,37,Kodama Haruka,18145,2013,32,NEW,HKT48,Next Girls Member,1996/09/19,21,16,O,Fukuoka,"21 Years, 4 Months, 18 Days",,19,Matsui Jurina,1371,2009,13,NEW,AKB48,Senbatsu Member,1997/03/08,20,12,B,Aichi,"20 Years, 10 Months, 29 Days"
54,Yamauchi Suzuran,6027,2012,27,-18,AKB48,Future Girls Member,1994/12/08,23,17,O,Chiba,"23 Years, 1 Months, 29 Days",,21,Kodama Haruka,33545,2014,37,16,HKT48,Undergirls Member,1996/09/19,21,17,O,Fukuoka,"21 Years, 4 Months, 18 Days",,19,Sashihara Rino,6704,2010,17,8,AKB48,Senbatsu Member,1992/11/21,25,17,O,Oita,"25 Years, 2 Months, 16 Days"
55,Nito Moeno,6025,2012,27,-24,AKB48,Future Girls Member,1992/07/22,25,19,AB,Aichi,"25 Years, 6 Months, 15 Days",,17,Kodama Haruka,43985,2015,41,4,HKT48,Undergirls Center,1996/09/19,21,18,O,Fukuoka,"21 Years, 4 Months, 18 Days",,19,Yokoyama Yui,16455,2011,22,NEW,AKB48,Senbatsu Member,1992/12/08,25,18,B,Kyoto,"25 Years, 1 Months, 29 Days"
56,Kimoto Kanon,5982,2012,27,NEW,SKE48,Future Girls Member,1997/08/11,20,14,AB,Aichi,"20 Years, 5 Months, 26 Days",,9,Kodama Haruka,60591,2016,45,8,HKT48,Senbatsu Member,1996/09/19,21,19,O,Fukuoka,"21 Years, 4 Months, 18 Days",,19,Watanabe Miyuki,19159,2012,27,NEW,NMB48,Undergirls Member,1993/09/19,24,18,B,Nara,"24 Years, 4 Months, 18 Days"
57,Oba Mina,5969,2012,27,-22,AKB48,Future Girls Member,1992/04/03,25,20,A,Kanagawa,"25 Years, 10 Months, 3 Days",,6,Kojima Haruna,2543,2009,13,NEW,AKB48,Senbatsu Member,1988/04/19,29,21,O,Saitama,"29 Years, 9 Months, 18 Days",,19,Umeda Ayaka,36282,2013,32,-3,AKB48,Undergirls Member,1989/01/03,29,24,A,Fukuoka,"29 Years, 1 Months, 3 Days"
58,Ichikawa Miori,5963,2012,27,-19,AKB48,Future Girls Member,1994/02/12,23,18,"O (""The shape of a lemon"")",Saitama,"23 Years, 11 Months, 25 Days",,7,Kojima Haruna,16231,2010,17,-1,AKB48,Senbatsu Member,1988/04/19,29,22,O,Saitama,"29 Years, 9 Months, 18 Days",,19,Kitahara Rie,34666,2014,37,2,AKB48,Undergirls Member,1991/06/24,26,23,A,Aichi,"26 Years, 7 Months, 13 Days"
59,Oya Shizuka,5933,2012,27,NEW,AKB48,Future Girls Member,1991/12/28,26,20,O,Fukuoka,"26 Years, 1 Months, 9 Days",,6,Kojima Haruna,52920,2011,22,1,AKB48,Senbatsu Member,1988/04/19,29,23,O,Saitama,"29 Years, 9 Months, 18 Days",,19,Minegishi Minami,35506,2015,41,3,AKB48,Undergirls Member,1992/11/15,25,22,B,Tokyo,"25 Years, 2 Months, 22 Days"
60,Ogasawara Mayu,5919,2012,27,NEW,NMB48,Future Girls Member,1994/04/11,23,18,A,Osaka,"23 Years, 9 Months, 26 Days",,7,Kojima Haruna,54483,2012,27,-1,AKB48,Senbatsu Member,1988/04/19,29,24,O,Saitama,"29 Years, 9 Months, 18 Days",,19,Kojima Mako,33524,2016,45,7,AKB48,Undergirls Member,1997/05/30,20,19,O,Tokyo,"20 Years, 8 Months, 7 Days"
61,Sato Sumire,5706,2012,27,-27,AKB48,Future Girls Member,1993/11/20,24,18,O,Saitama,"24 Years, 2 Months, 17 Days",,9,Kojima Haruna,67424,2013,32,-2,AKB48,Senbatsu Member,1988/04/19,29,25,O,Saitama,"29 Years, 9 Months, 18 Days",,19,Minegishi Minami,34688,2017,49,-2,AKB48,Undergirls Member,1992/11/15,25,24,B,Tokyo,"25 Years, 2 Months, 22 Days"
62,Yakata Miki,5606,2012,27,NEW,SKE48,Future Girls Member,1992/06/29,25,20,O,Oita,"25 Years, 7 Months, 8 Days",,8,Kojima Haruna,62899,2014,37,1,AKB48,Senbatsu Member,1988/04/19,29,26,O,Saitama,"29 Years, 9 Months, 18 Days",,20,Oota Aika,1365,2009,13,NEW,AKB48,Senbatsu Member,1994/12/08,23,14,O,Saitama,"23 Years, 1 Months, 29 Days"
63,Nakanishi Yuka,5592,2012,27,NEW,SKE48,Future Girls Member,1989/01/24,28,23,A,Aichi,"29 Years, 0 Months, 13 Days",,16,Kojima Haruna,40071,2016,45,REENTER,AKB48,Senbatsu Member,1988/04/19,29,28,O,Saitama,"29 Years, 9 Months, 18 Days",,20,Nakagawa Haruka,6567,2010,17,NEW,AKB48,Senbatsu Member,1992/02/10,25,18,O,Tokyo,"25 Years, 11 Months, 27 Days"
64,Komori Mika,5398,2012,27,-32,AKB48,Future Girls Member,1994/07/19,23,17,O,Aichi,"23 Years, 6 Months, 18 Days",,36,Kojima Mako,20414,2014,37,NEW,AKB48,Next Girls Member,1997/05/30,20,17,O,Tokyo,"20 Years, 8 Months, 7 Days",,20,Masuda Yuka,14137,2011,22,5,AKB48,Senbatsu Member,1991/08/03,26,19,B,Osaka,"26 Years, 6 Months, 3 Days"
1,Sashihara Rino,150570,2013,32,3,HKT48,Senbatsu Center,1992/11/21,25,20,O,Oita,"25 Years, 2 Months, 16 Days",,26,Kojima Mako,25110,2015,41,10,AKB48,Undergirls Member,1997/05/30,20,18,O,Tokyo,"20 Years, 8 Months, 7 Days",,20,Akimoto Sayaka,19121,2012,27,-3,AKB48,Undergirls Member,1988/07/26,29,23,B,Chiba,"29 Years, 6 Months, 11 Days"
2,Oshima Yuko,136503,2013,32,-1,AKB48,Senbatsu Member,1988/10/17,29,24,B,Tochigi,"29 Years, 3 Months, 20 Days",,19,Kojima Mako,33524,2016,45,7,AKB48,Undergirls Member,1997/05/30,20,19,O,Tokyo,"20 Years, 8 Months, 7 Days",,20,Takajo Aki,33129,2013,32,-3,AKB48,Undergirls Member,1991/10/03,26,21,B,Tokyo,"26 Years, 4 Months, 3 Days"
3,Watanabe Mayu,101210,2013,32,-1,AKB48,Senbatsu Member,1994/03/26,23,19,A,Saitama,"23 Years, 10 Months, 11 Days",,24,Kojima Mako,29699,2017,49,-5,AKB48,Undergirls Member,1997/05/30,20,20,O,Tokyo,"20 Years, 8 Months, 7 Days",,20,Iriyama Anna,34002,2014,37,10,AKB48,Undergirls Member,1995/12/03,22,18,B,Chiba,"22 Years, 2 Months, 3 Days"
4,Kashiwagi Yuki,96905,2013,32,-1,AKB48,Senbatsu Member,1991/07/15,26,21,A,Kagoshima,"26 Years, 6 Months, 22 Days",,46,Kojina Yui,18085,2015,41,NEW,HKT48,Next Girls Member,1998/01/24,19,17,AB,Fukuoka,"20 Years, 0 Months, 13 Days",,20,Oya Masana,30021,2015,41,10,SKE48,Undergirls Member,1990/11/06,27,24,AB,Aichi,"27 Years, 3 Months, 0 Days"
5,Shinoda Mariko,92599,2013,32,0,AKB48,Senbatsu Member,1986/03/11,31,27,A,Fukuoka,"31 Years, 10 Months, 26 Days",,53,Kojina Yui,19377,2016,45,-7,HKT48,Future Girls Member,1998/01/24,19,18,AB,Fukuoka,"20 Years, 0 Months, 13 Days",,20,Takayanagi Akane,33176,2016,45,-6,SKE48,Undergirls Member,1991/11/29,26,24,B,Aichi,"26 Years, 2 Months, 8 Days"
6,Matsui Jurina,77170,2013,32,3,SKE48,Senbatsu Member,1997/03/08,20,16,B,Aichi,"20 Years, 10 Months, 29 Days",,84,Kojina Yui,14196,2017,49,-31,HKT48,No Membership,1998/01/24,19,19,AB,Fukuoka,"20 Years, 0 Months, 13 Days",,20,Suto Ririka,31779,2017,49,24,NMB48,Undergirls Member,1996/11/23,21,20,A,Tokyo,"21 Years, 2 Months, 14 Days"
7,Matsui Rena,73173,2013,32,3,SKE48,Senbatsu Member,1991/07/27,26,21,O,Aichi,"26 Years, 6 Months, 10 Days",,79,Komada Hiroka,9609,2014,37,NEW,AKB48,Upcoming Girls Member,1996/11/21,21,17,A,Miyazaki,"21 Years, 2 Months, 16 Days",,21,Kuramochi Asuka,1355,2009,13,NEW,AKB48,Senbatsu Member,1989/09/11,28,19,A,Kanagawa,"28 Years, 4 Months, 26 Days"
8,Takahashi Minami,68681,2013,32,-2,AKB48,Senbatsu Member,1991/04/08,26,22,AB,Tokyo,"26 Years, 9 Months, 29 Days",,60,Komada Hiroka,16691,2016,45,REENTER,HKT48,Future Girls Member,1996/11/21,21,19,A,Miyazaki,"21 Years, 2 Months, 16 Days",,21,Miyazaki Miho,6371,2010,17,-3,AKB48,Senbatsu Member,1993/07/30,24,16,O,Tokyo,"24 Years, 6 Months, 7 Days"
9,Kojima Haruna,67424,2013,32,-2,AKB48,Senbatsu Member,1988/04/19,29,25,O,Saitama,"29 Years, 9 Months, 18 Days",,21,Komiyama Haruka,32886,2016,45,NEW,AKB48,Undergirls Member,1998/09/12,19,17,B,Chiba,"19 Years, 4 Months, 25 Days",,21,Kuramochi Asuka,12387,2011,22,2,AKB48,Senbatsu Member,1989/09/11,28,21,A,Kanagawa,"28 Years, 4 Months, 26 Days"
10,Miyazawa Sae,65867,2013,32,1,AKB48,Senbatsu Member,1990/08/13,27,22,O,Tokyo,"27 Years, 5 Months, 24 Days",,52,Komiyama Haruka,20910,2017,49,-31,AKB48,Future Girls Member,1998/09/12,19,18,B,Chiba,"19 Years, 4 Months, 25 Days",,21,Sato Amina,17009,2012,27,-3,AKB48,Undergirls Member,1990/10/16,27,21,O,Tokyo,"27 Years, 3 Months, 21 Days"
11,Itano Tomomi,63547,2013,32,-3,AKB48,Senbatsu Member,1991/07/03,26,21,A,Kanagawa,"26 Years, 7 Months, 3 Days",,30,Komori Mika,2613,2010,17,NEW,AKB48,Undergirls Member,1994/07/19,23,15,O,Aichi,"23 Years, 6 Months, 18 Days",,21,Kitahara Rie,33121,2013,32,-8,AKB48,Undergirls Member,1991/06/24,26,22,A,Aichi,"26 Years, 7 Months, 13 Days"
12,Shimazaki Haruka,57275,2013,32,11,AKB48,Senbatsu Member,1994/03/30,23,19,A,Saitama,"23 Years, 10 Months, 7 Days",,32,Komori Mika,6120,2011,22,-2,AKB48,Undergirls Member,1994/07/19,23,16,O,Aichi,"23 Years, 6 Months, 18 Days",,21,Kodama Haruka,33545,2014,37,16,HKT48,Undergirls Member,1996/09/19,21,17,O,Fukuoka,"21 Years, 4 Months, 18 Days"
13,Yokoyama Yui,53903,2013,32,2,AKB48,Senbatsu Member,1992/12/08,25,20,B,Kyoto,"25 Years, 1 Months, 29 Days",,64,Komori Mika,5398,2012,27,-32,AKB48,Future Girls Member,1994/07/19,23,17,O,Aichi,"23 Years, 6 Months, 18 Days",,21,Tomonaga Mio,28197,2015,41,6,HKT48,Undergirls Member,1998/05/17,19,17,O,Fukuoka,"19 Years, 8 Months, 20 Days"
14,Yamamoto Sayaka,51793,2013,32,4,NMB48,Senbatsu Member,1993/07/14,24,19,B,Osaka,"24 Years, 6 Months, 23 Days",,61,Kotani Riho,12913,2014,37,NEW,HKT48,Future Girls Member,1994/08/24,23,19,A,Kyoto,"23 Years, 5 Months, 13 Days",,21,Komiyama Haruka,32886,2016,45,NEW,AKB48,Undergirls Member,1998/09/12,19,17,B,Chiba,"19 Years, 4 Months, 25 Days"
15,Watanabe Miyuki,44116,2013,32,4,NMB48,Senbatsu Member,1993/09/19,24,19,B,Nara,"24 Years, 4 Months, 18 Days",,54,Kotani Riho,17132,2015,41,7,NMB48,Future Girls Member,1994/08/24,23,20,A,Kyoto,"23 Years, 5 Months, 13 Days",,21,Kato Rena,30282,2017,49,5,AKB48,Undergirls Member,1997/07/10,20,19,B,Chiba,"20 Years, 6 Months, 27 Days"
16,Suda Akari,43252,2013,32,13,SKE48,Senbatsu Member,1991/10/31,26,21,A,Aichi,"26 Years, 3 Months, 6 Days",,47,Kubo Satone,22895,2017,49,NEW,AKB48,Next Girls Member,2003/11/20,14,13,O,Kanagawa,"14 Years, 2 Months, 17 Days",,22,Yonezawa Rumi,1352,2009,13,NEW,AKB48,Undergirls Center,1991/06/06,26,18,B,Saitama,"26 Years, 8 Months, 0 Days"
17,Shibata Aya,39739,2013,32,NEW,SKE48,Undergirls Center,1993/04/01,24,20,B,Aichi,"24 Years, 10 Months, 5 Days",,73,Kumazaki Haruka,13777,2015,41,NEW,SKE48,Upcoming Girls Member,1997/08/10,20,17,O,Aichi,"20 Years, 5 Months, 27 Days",,22,Oota Aika,6145,2010,17,-2,AKB48,Undergirls Center,1994/12/08,23,15,O,Saitama,"23 Years, 1 Months, 29 Days"
18,Minegishi Minami,38985,2013,32,-4,AKB48,Undergirls Member,1992/11/15,25,20,B,Tokyo,"25 Years, 2 Months, 22 Days",,67,Kumazaki Haruka,15600,2016,45,NEW,SKE48,Upcoming Girls Member,1997/08/10,20,18,O,Aichi,"20 Years, 5 Months, 27 Days",,22,Umeda Ayaka,11860,2011,22,10,AKB48,Undergirls Center,1989/01/03,29,22,A,Fukuoka,"29 Years, 1 Months, 3 Days"
19,Umeda Ayaka,36282,2013,32,-3,AKB48,Undergirls Member,1989/01/03,29,24,A,Fukuoka,"29 Years, 1 Months, 3 Days",,63,Kumazaki Haruka,18299,2017,49,4,SKE48,Future Girls Member,1997/08/10,20,19,O,Aichi,"20 Years, 5 Months, 27 Days",,22,Kuramochi Asuka,14852,2012,27,-1,AKB48,Undergirls Member,1989/09/11,28,22,A,Kanagawa,"28 Years, 4 Months, 26 Days"
20,Takajo Aki,33129,2013,32,-3,AKB48,Undergirls Member,1991/10/03,26,21,B,Tokyo,"26 Years, 4 Months, 3 Days",,21,Kuramochi Asuka,1355,2009,13,NEW,AKB48,Senbatsu Member,1989/09/11,28,19,A,Kanagawa,"28 Years, 4 Months, 26 Days",,22,Kizaki Yuria,30307,2013,32,9,SKE48,Undergirls Member,1996/02/11,21,17,O,Aichi,"21 Years, 11 Months, 26 Days"
21,Kitahara Rie,33121,2013,32,-8,AKB48,Undergirls Member,1991/06/24,26,22,A,Aichi,"26 Years, 7 Months, 13 Days",,23,Kuramochi Asuka,5355,2010,17,-2,AKB48,Undergirls Member,1989/09/11,28,20,A,Kanagawa,"28 Years, 4 Months, 26 Days",,22,Minegishi Minami,33162,2014,37,-4,AKB48,Undergirls Member,1992/11/15,25,21,B,Tokyo,"25 Years, 2 Months, 22 Days"
22,Kizaki Yuria,30307,2013,32,9,SKE48,Undergirls Member,1996/02/11,21,17,O,Aichi,"21 Years, 11 Months, 26 Days",,21,Kuramochi Asuka,12387,2011,22,2,AKB48,Senbatsu Member,1989/09/11,28,21,A,Kanagawa,"28 Years, 4 Months, 26 Days",,22,Kizaki Yuria,26994,2015,41,1,AKB48,Undergirls Member,1996/02/11,21,19,O,Aichi,"21 Years, 11 Months, 26 Days"
23,Takayanagi Akane,29199,2013,32,1,SKE48,Undergirls Member,1991/11/29,26,21,B,Aichi,"26 Years, 2 Months, 8 Days",,22,Kuramochi Asuka,14852,2012,27,-1,AKB48,Undergirls Member,1989/09/11,28,22,A,Kanagawa,"28 Years, 4 Months, 26 Days",,22,Oba Mina,32118,2016,45,5,SKE48,Undergirls Member,1992/04/03,25,24,A,Kanagawa,"25 Years, 10 Months, 3 Days"
24,Matsumura Kaori,27566,2013,32,10,SKE48,Undergirls Member,1990/01/17,28,23,O,Saitama,"28 Years, 0 Months, 20 Days",,36,Kuramochi Asuka,18435,2013,32,-14,AKB48,Next Girls Member,1989/09/11,28,23,A,Kanagawa,"28 Years, 4 Months, 26 Days",,22,Oya Masana,30236,2017,49,REENTER,SKE48,Undergirls Member,1990/11/06,27,26,AB,Aichi,"27 Years, 3 Months, 0 Days"
25,Kawaei Rina,26764,2013,32,NEW,AKB48,Undergirls Member,1995/02/12,22,18,O,Kanagawa,"22 Years, 11 Months, 25 Days",,52,Kuramochi Asuka,15443,2014,37,-16,AKB48,Future Girls Member,1989/09/11,28,24,A,Kanagawa,"28 Years, 4 Months, 26 Days",,23,Takajo Aki,1322,2009,13,NEW,AKB48,Undergirls Member,1991/10/03,26,17,B,Tokyo,"26 Years, 4 Months, 3 Days"
26,Miyawaki Sakura,25760,2013,32,21,HKT48,Undergirls Member,1998/03/19,19,15,A,Kagoshima,"19 Years, 10 Months, 18 Days",,34,Kuranoo Narumi,26152,2016,45,NEW,AKB48,Next Girls Member,2000/11/08,17,15,A,Kumamoto,"17 Years, 2 Months, 29 Days",,23,Kuramochi Asuka,5355,2010,17,-2,AKB48,Undergirls Member,1989/09/11,28,20,A,Kanagawa,"28 Years, 4 Months, 26 Days"
27,Furukawa Airi,24990,2013,32,3,SKE48,Undergirls Member,1989/12/13,28,23,AB,Aichi,"28 Years, 1 Months, 24 Days",,30,Kuranoo Narumi,28037,2017,49,4,AKB48,Undergirls Member,2000/11/08,17,16,A,Kumamoto,"17 Years, 2 Months, 29 Days",,23,Takayanagi Akane,10854,2011,22,12,SKE48,Undergirls Member,1991/11/29,26,19,B,Aichi,"26 Years, 2 Months, 8 Days"
28,Yamada Nana,23950,2013,32,18,NMB48,Undergirls Member,1992/04/03,25,21,A,Osaka,"25 Years, 10 Months, 3 Days",,37,Maeda Ami,5220,2011,22,NEW,AKB48,Undergirls Member,1995/06/01,22,16,O,Tokyo,"22 Years, 8 Months, 5 Days",,23,Shimazaki Haruka,14633,2012,27,5,AKB48,Undergirls Member,1994/03/30,23,18,A,Saitama,"23 Years, 10 Months, 7 Days"
29,Oya Masana,23588,2013,32,-2,SKE48,Undergirls Member,1990/11/06,27,22,AB,Aichi,"27 Years, 3 Months, 0 Days",,42,Maeda Ami,7168,2012,27,-5,AKB48,Next Girls Member,1995/06/01,22,17,O,Tokyo,"22 Years, 8 Months, 5 Days",,23,Takayanagi Akane,29199,2013,32,1,SKE48,Undergirls Member,1991/11/29,26,21,B,Aichi,"26 Years, 2 Months, 8 Days"
30,Iriyama Anna,22869,2013,32,NEW,AKB48,Undergirls Member,1995/12/03,22,17,B,Chiba,"22 Years, 2 Months, 3 Days",,53,Maeda Ami,13613,2013,32,-11,AKB48,Future Girls Member,1995/06/01,22,18,O,Tokyo,"22 Years, 8 Months, 5 Days",,23,Kizaki Yuria,30154,2014,37,-1,AKB48,Undergirls Member,1996/02/11,21,18,O,Aichi,"21 Years, 11 Months, 26 Days"
31,Kimoto Kanon,21385,2013,32,25,SKE48,Undergirls Member,1997/08/11,20,15,AB,Aichi,"20 Years, 5 Months, 26 Days",,70,Maeda Ami,11117,2014,37,-17,SKE48,Upcoming Girls Member,1995/06/01,22,19,O,Tokyo,"22 Years, 8 Months, 5 Days",,23,Tani Marika,26051,2015,41,NEW,SKE48,Undergirls Member,1996/01/05,22,19,B,Fukuoka,"22 Years, 1 Months, 1 Days"
32,Fujie Reina,21324,2013,32,8,AKB48,Undergirls Member,1994/02/01,23,19,B,Chiba,"24 Years, 0 Months, 5 Days",,1,Maeda Atsuko,4630,2009,13,NEW,AKB48,Senbatsu Center,1991/07/10,26,17,A,Chiba,"26 Years, 6 Months, 27 Days",,23,Tomonaga Mio,31314,2016,45,-2,HKT48,Undergirls Member,1998/05/17,19,18,O,Fukuoka,"19 Years, 8 Months, 20 Days"
33,Sato Amina,19569,2013,32,-12,AKB48,Next Girls Center,1990/10/16,27,22,O,Tokyo,"27 Years, 3 Months, 21 Days",,2,Maeda Atsuko,30851,2010,17,-1,AKB48,Senbatsu Member,1991/07/10,26,18,A,Chiba,"26 Years, 6 Months, 27 Days",,23,Nakai Rika,29903,2017,49,73,NGT48,Undergirls Member,1997/08/23,20,19,A,Toyama,"20 Years, 5 Months, 14 Days"
