GROUPED BY YEAR AND SORTED BY POSITION,,,,,,,,,,,,,,,SORTED ALPHABETICALLY,,,,,,,,,,,,,,,GROUPED BY POSITION AND SORTED BY YEAR,,,,,,,,,,,,,
#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge
14,Miyazawa Sae,1547,2009,13,NEW,AKB48,Senbatsu Member,1990/08/13,27,18,O,Tokyo,"27 Years, 5 Months, 24 Days",,61,Azuma Rion,15539,2015,41,NEW,SKE48,Future Girls Member,1996/11/13,21,18,AB,Hokkaido,"21 Years, 2 Months, 24 Days",,2,Oshima Yuko,136503,2013,32,-1,AKB48,Senbatsu Member,1988/10/17,29,24,B,Tochigi,"29 Years, 3 Months, 20 Days"
15,Sato Yukari,1539,2009,13,NEW,AKB48,Senbatsu Member,1988/11/22,29,20,B,Shizuoka,"29 Years, 2 Months, 15 Days",,83,Azuma Rion,12396,2016,45,-22,SKE48,No Membership,1996/11/13,21,19,AB,Hokkaido,"21 Years, 2 Months, 24 Days",,2,Sashihara Rino,141954,2014,37,-1,HKT48,Senbatsu Member,1992/11/21,25,21,O,Oita,"25 Years, 2 Months, 16 Days"
16,Minegishi Minami,1414,2009,13,NEW,AKB48,Senbatsu Member,1992/11/15,25,16,B,Tokyo,"25 Years, 2 Months, 22 Days",,35,Ego Yuna,25963,2016,45,NEW,SKE48,Next Girls Member,2000/03/29,17,16,O,Aichi,"17 Years, 10 Months, 8 Days",,2,Kashiwagi Yuki,167183,2015,41,1,AKB48,Senbatsu Member,1991/07/15,26,23,A,Kagoshima,"26 Years, 6 Months, 22 Days"
17,Urano Kazumi,1395,2009,13,NEW,AKB48,Senbatsu Member,1985/10/23,32,23,O,Saitama,"32 Years, 3 Months, 14 Days",,36,Ego Yuna,25731,2017,49,-1,SKE48,Next Girls Member,2000/03/29,17,17,O,Aichi,"17 Years, 10 Months, 8 Days",,2,Watanabe Mayu,175613,2016,45,1,AKB48,Senbatsu Member,1994/03/26,23,22,A,Saitama,"23 Years, 10 Months, 11 Days"
18,Miyazaki Miho,1373,2009,13,NEW,AKB48,Senbatsu Member,1993/07/30,24,15,O,Tokyo,"24 Years, 6 Months, 7 Days",,31,Fuchigami Mai,22487,2015,41,NEW,HKT48,Undergirls Member,1996/09/21,21,18,A,Fukuoka,"21 Years, 4 Months, 16 Days",,2,Watanabe Mayu,149132,2017,49,0,AKB48,Senbatsu Member,1994/03/26,23,23,A,Saitama,"23 Years, 10 Months, 11 Days"
19,Matsui Jurina,1371,2009,13,NEW,AKB48,Senbatsu Member,1997/03/08,20,12,B,Aichi,"20 Years, 10 Months, 29 Days",,40,Fuchigami Mai,22995,2016,45,-9,HKT48,Next Girls Member,1996/09/21,21,19,A,Fukuoka,"21 Years, 4 Months, 16 Days",,3,Shinoda Mariko,2852,2009,13,NEW,AKB48,Senbatsu Member,1986/03/11,31,23,A,Fukuoka,"31 Years, 10 Months, 26 Days"
20,Oota Aika,1365,2009,13,NEW,AKB48,Senbatsu Member,1994/12/08,23,14,O,Saitama,"23 Years, 1 Months, 29 Days",,34,Fuchigami Mai,25900,2017,49,6,HKT48,Next Girls Member,1996/09/21,21,20,A,Fukuoka,"21 Years, 4 Months, 16 Days",,3,Shinoda Mariko,23139,2010,17,0,AKB48,Senbatsu Member,1986/03/11,31,24,A,Fukuoka,"31 Years, 10 Months, 26 Days"
21,Kuramochi Asuka,1355,2009,13,NEW,AKB48,Senbatsu Member,1989/09/11,28,19,A,Kanagawa,"28 Years, 4 Months, 26 Days",,33,Fujie Reina,2460,2010,17,NEW,AKB48,Undergirls Member,1994/02/01,23,16,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Kashiwagi Yuki,74252,2011,22,5,AKB48,Senbatsu Member,1991/07/15,26,19,A,Kagoshima,"26 Years, 6 Months, 22 Days"
22,Yonezawa Rumi,1352,2009,13,NEW,AKB48,Undergirls Center,1991/06/06,26,18,B,Saitama,"26 Years, 8 Months, 0 Days",,40,Fujie Reina,4698,2011,22,-7,AKB48,Undergirls Member,1994/02/01,23,17,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Kashiwagi Yuki,71076,2012,27,0,AKB48,Senbatsu Member,1991/07/15,26,20,A,Kagoshima,"26 Years, 6 Months, 22 Days"
23,Takajo Aki,1322,2009,13,NEW,AKB48,Undergirls Member,1991/10/03,26,17,B,Tokyo,"26 Years, 4 Months, 3 Days",,40,Fujie Reina,7782,2012,27,0,AKB48,Next Girls Member,1994/02/01,23,18,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Watanabe Mayu,101210,2013,32,-1,AKB48,Senbatsu Member,1994/03/26,23,19,A,Saitama,"23 Years, 10 Months, 11 Days"
24,Ohori Megumi,1316,2009,13,NEW,AKB48,Undergirls Member,1983/08/25,34,25,A,Tokyo,"34 Years, 5 Months, 12 Days",,32,Fujie Reina,21324,2013,32,8,AKB48,Undergirls Member,1994/02/01,23,19,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Kashiwagi Yuki,104364,2014,37,1,AKB48,Senbatsu Member,1991/07/15,26,22,A,Kagoshima,"26 Years, 6 Months, 22 Days"
25,Masuda Yuka,1247,2009,13,NEW,AKB48,Undergirls Member,1991/08/03,26,17,B,Osaka,"26 Years, 6 Months, 3 Days",,33,Fujie Reina,20956,2014,37,-1,NMB48,Next Girls Center,1994/02/01,23,20,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Watanabe Mayu,165789,2015,41,-2,AKB48,Senbatsu Member,1994/03/26,23,21,A,Saitama,"23 Years, 10 Months, 11 Days"
26,Hirajima Natsumi,1216,2009,13,NEW,AKB48,Undergirls Member,1992/05/28,25,17,O,Tokyo,"25 Years, 8 Months, 9 Days",,35,Fujie Reina,21388,2015,41,-2,NMB48,Next Girls Member,1994/02/01,23,21,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Matsui Jurina,112341,2016,45,2,SKE48,Senbatsu Member,1997/03/08,20,19,B,Aichi,"20 Years, 10 Months, 29 Days"
27,Sashihara Rino,1170,2009,13,NEW,AKB48,Undergirls Member,1992/11/21,25,16,O,Oita,"25 Years, 2 Months, 16 Days",,41,Fujie Reina,22429,2016,45,-6,NMB48,Next Girls Member,1994/02/01,23,22,B,Chiba,"24 Years, 0 Months, 5 Days",,3,Matsui Jurina,113615,2017,49,0,SKE48,Senbatsu Member,1997/03/08,20,20,B,Aichi,"20 Years, 10 Months, 29 Days"
28,Katayama Haruka,1089,2009,13,NEW,AKB48,Undergirls Member,1990/05/10,27,19,A,Aichi,"27 Years, 8 Months, 27 Days",,91,Fukagawa Maiko,11868,2017,49,NEW,HKT48,No Membership,1999/07/05,18,17,O,Fukuoka,"18 Years, 7 Months, 1 Days",,4,Watanabe Mayu,2625,2009,13,NEW,AKB48,Senbatsu Member,1994/03/26,23,15,A,Saitama,"23 Years, 10 Months, 11 Days"
29,Matsui Rena,1073,2009,13,NEW,AKB48,Undergirls Member,1991/07/27,26,17,O,Aichi,"26 Years, 6 Months, 10 Days",,43,Fukumoto Aina,6912,2012,27,NEW,NMB48,Next Girls Member,1993/03/25,24,19,**,Nara,"24 Years, 10 Months, 12 Days",,4,Itano Tomomi,20513,2010,17,3,AKB48,Senbatsu Member,1991/07/03,26,18,A,Kanagawa,"26 Years, 7 Months, 3 Days"
30,Matsubara Natsumi,1050,2009,13,NEW,AKB48,Undergirls Member,1990/06/19,27,19,B,Fukuoka,"27 Years, 7 Months, 18 Days",,97,Fukuoka Seina,8984,2016,45,NEW,AKB48,No Membership,2000/08/01,17,15,**,Kanagawa,"17 Years, 6 Months, 5 Days",,4,Shinoda Mariko,60539,2011,22,-1,AKB48,Senbatsu Member,1986/03/11,31,25,A,Fukuoka,"31 Years, 10 Months, 26 Days"
1,Oshima Yuko,31448,2010,17,1,AKB48,Senbatsu Center,1988/10/17,29,21,B,Tochigi,"29 Years, 3 Months, 20 Days",,32,Fukuoka Seina,26444,2017,49,65,AKB48,Undergirls Member,2000/08/01,17,16,**,Kanagawa,"17 Years, 6 Months, 5 Days",,4,Sashihara Rino,67339,2012,27,5,AKB48,Senbatsu Member,1992/11/21,25,19,O,Oita,"25 Years, 2 Months, 16 Days"
2,Maeda Atsuko,30851,2010,17,-1,AKB48,Senbatsu Member,1991/07/10,26,18,A,Chiba,"26 Years, 6 Months, 27 Days",,55,Furuhata Nao,14634,2014,37,NEW,SKE48,Future Girls Member,1996/09/15,21,17,O,Aichi,"21 Years, 4 Months, 22 Days",,4,Kashiwagi Yuki,96905,2013,32,-1,AKB48,Senbatsu Member,1991/07/15,26,21,A,Kagoshima,"26 Years, 6 Months, 22 Days"
3,Shinoda Mariko,23139,2010,17,0,AKB48,Senbatsu Member,1986/03/11,31,24,A,Fukuoka,"31 Years, 10 Months, 26 Days",,24,Furuhata Nao,25650,2015,41,31,SKE48,Undergirls Member,1996/09/15,21,18,O,Aichi,"21 Years, 4 Months, 22 Days",,4,Matsui Jurina,90910,2014,37,2,SKE48,Senbatsu Member,1997/03/08,20,17,B,Aichi,"20 Years, 10 Months, 29 Days"
4,Itano Tomomi,20513,2010,17,3,AKB48,Senbatsu Member,1991/07/03,26,18,A,Kanagawa,"26 Years, 7 Months, 3 Days",,29,Furuhata Nao,28553,2016,45,-5,SKE48,Undergirls Member,1996/09/15,21,19,O,Aichi,"21 Years, 4 Months, 22 Days",,4,Takahashi Minami,137252,2015,41,5,AKB48,Senbatsu Member,1991/04/08,26,24,AB,Tokyo,"26 Years, 9 Months, 29 Days"
5,Watanabe Mayu,20088,2010,17,-1,AKB48,Senbatsu Member,1994/03/26,23,16,A,Saitama,"23 Years, 10 Months, 11 Days",,14,Furuhata Nao,40202,2017,49,15,SKE48,Senbatsu Member,1996/09/15,21,20,O,Aichi,"21 Years, 4 Months, 22 Days",,4,Yamamoto Sayaka,110411,2016,45,2,NMB48,Senbatsu Member,1993/07/14,24,22,B,Osaka,"24 Years, 6 Months, 23 Days"
6,Takahashi Minami,17787,2010,17,-1,AKB48,Senbatsu Member,1991/04/08,26,19,AB,Tokyo,"26 Years, 9 Months, 29 Days",,30,Furukawa Airi,11179,2012,27,NEW,SKE48,Undergirls Member,1989/12/13,28,22,AB,Aichi,"28 Years, 1 Months, 24 Days",,4,Miyawaki Sakura,82803,2017,49,2,HKT48,Senbatsu Member,1998/03/19,19,19,A,Kagoshima,"19 Years, 10 Months, 18 Days"
7,Kojima Haruna,16231,2010,17,-1,AKB48,Senbatsu Member,1988/04/19,29,22,O,Saitama,"29 Years, 9 Months, 18 Days",,27,Furukawa Airi,24990,2013,32,3,SKE48,Undergirls Member,1989/12/13,28,23,AB,Aichi,"28 Years, 1 Months, 24 Days",,5,Takahashi Minami,2614,2009,13,NEW,AKB48,Senbatsu Member,1991/04/08,26,18,AB,Tokyo,"26 Years, 9 Months, 29 Days"
8,Kashiwagi Yuki,15466,2010,17,1,AKB48,Senbatsu Member,1991/07/15,26,18,A,Kagoshima,"26 Years, 6 Months, 22 Days",,37,Furukawa Airi,19315,2014,37,-10,SKE48,Next Girls Member,1989/12/13,28,24,AB,Aichi,"28 Years, 1 Months, 24 Days",,5,Watanabe Mayu,20088,2010,17,-1,AKB48,Senbatsu Member,1994/03/26,23,16,A,Saitama,"23 Years, 10 Months, 11 Days"
9,Miyazawa Sae,12560,2010,17,5,AKB48,Senbatsu Member,1990/08/13,27,19,O,Tokyo,"27 Years, 5 Months, 24 Days",,34,Futamura Haruka,20881,2014,37,NEW,SKE48,Next Girls Member,1996/05/14,21,18,O,Aichi,"21 Years, 8 Months, 23 Days",,5,Watanabe Mayu,59118,2011,22,0,AKB48,Senbatsu Member,1994/03/26,23,17,A,Saitama,"23 Years, 10 Months, 11 Days"
10,Matsui Jurina,12168,2010,17,9,SKE48,Senbatsu Member,1997/03/08,20,13,B,Aichi,"20 Years, 10 Months, 29 Days",,38,Futamura Haruka,20590,2015,41,-4,SKE48,Next Girls Member,1996/05/14,21,19,O,Aichi,"21 Years, 8 Months, 23 Days",,5,Shinoda Mariko,67017,2012,27,-1,AKB48,Senbatsu Member,1986/03/11,31,26,A,Fukuoka,"31 Years, 10 Months, 26 Days"
11,Matsui Rena,12082,2010,17,18,SKE48,Senbatsu Member,1991/07/27,26,18,O,Aichi,"26 Years, 6 Months, 10 Days",,49,Futamura Haruka,20618,2016,45,-11,SKE48,Future Girls Center,1996/05/14,21,20,O,Aichi,"21 Years, 8 Months, 23 Days",,5,Shinoda Mariko,92599,2013,32,0,AKB48,Senbatsu Member,1986/03/11,31,27,A,Fukuoka,"31 Years, 10 Months, 26 Days"
12,Kasai Tomomi,11080,2010,17,-2,AKB48,Senbatsu Member,1991/11/16,26,18,A,Tokyo,"26 Years, 2 Months, 21 Days",,76,Goto Moe,16097,2017,49,NEW,AKB48,Upcoming Girls Member,2001/05/20,16,16,O,Aichi,"16 Years, 8 Months, 17 Days",,5,Matsui Rena,69790,2014,37,2,SKE48,Senbatsu Member,1991/07/27,26,22,O,Aichi,"26 Years, 6 Months, 10 Days"
13,Takajo Aki,11062,2010,17,10,AKB48,Senbatsu Member,1991/10/03,26,18,B,Tokyo,"26 Years, 4 Months, 3 Days",,46,Goto Rara,23225,2017,49,NEW,SKE48,Next Girls Member,2000/07/23,17,16,AB,Aichi,"17 Years, 6 Months, 14 Days",,5,Matsui Jurina,105289,2015,41,-1,SKE48,Senbatsu Member,1997/03/08,20,18,B,Aichi,"20 Years, 10 Months, 29 Days"
14,Minegishi Minami,9692,2010,17,2,AKB48,Senbatsu Member,1992/11/15,25,17,B,Tokyo,"25 Years, 2 Months, 22 Days",,52,Goto Risako,17330,2015,41,NEW,SKE48,Future Girls Member,1997/05/29,20,18,A,Aichi,"20 Years, 8 Months, 8 Days",,5,Kashiwagi Yuki,92110,2016,45,-3,AKB48,Senbatsu Member,1991/07/15,26,24,A,Kagoshima,"26 Years, 6 Months, 22 Days"
15,Ono Erena,9468,2010,17,-4,AKB48,Senbatsu Member,1993/11/26,24,16,A,Tokyo,"24 Years, 2 Months, 11 Days",,100,Goto Risako,8372,2016,45,-48,SKE48,No Membership,1997/05/29,20,19,A,Aichi,"20 Years, 8 Months, 8 Days",,5,Ogino Yuka,73368,2017,49,90,NGT48,Senbatsu Member,1999/02/16,18,18,A,Saitama,"18 Years, 11 Months, 21 Days"
16,Kitahara Rie,8836,2010,17,-3,AKB48,Senbatsu Member,1991/06/24,26,19,A,Aichi,"26 Years, 7 Months, 13 Days",,33,Hata Sawako,6117,2011,22,NEW,SKE48,Undergirls Member,1988/09/14,29,22,A,Osaka,"29 Years, 4 Months, 23 Days",,6,Kojima Haruna,2543,2009,13,NEW,AKB48,Senbatsu Member,1988/04/19,29,21,O,Saitama,"29 Years, 9 Months, 18 Days"
